,WELL,DEPTH_MD,CALI,RMED,RDEP,RHOB,GR,NPHI,DTC,FORCE_2020_LITHOFACIES_LITHOLOGY,GROUP,GROUP_num,LITHOLOGY,RMED_log,RDEP_log
611166,34/8-1,1725.7690232,18.106157303,0.5606077909,0.438534379,2.1525537968,83.007614136,0.5598229766,137.52215576,70000,HORDALAND GP.,5,Limestone (Calcário),-0.25134087103993535,-0.3579963543509993
611167,34/8-1,1725.9210232,18.054069519,0.5476989746,0.4432015419,2.1188256741,83.586532593,0.5234540701,143.99873352,70000,HORDALAND GP.,5,Limestone (Calcário),-0.2614580721549807,-0.35339873736469707
611168,34/8-1,1726.0730232,18.077367783,0.5455279946,0.4518110454,2.0927093029,79.901100159,0.5016789436,147.36795044,65000,HORDALAND GP.,5,Shale (Argilito),-0.26318295802092406,-0.345043156112348
611169,34/8-1,1726.2250232,18.336990356,0.5536751151,0.4518930912,2.0821256638,77.101242065,0.4984880388,152.51783752,65000,HORDALAND GP.,5,Shale (Argilito),-0.2567449953929204,-0.34496429836043974
611170,34/8-1,1726.3770232,18.467144012,0.5555170178,0.4489746988,2.0681862831,75.810783386,0.5196432471,155.65315247,65000,HORDALAND GP.,5,Shale (Argilito),-0.25530263227049715,-0.34777813222863563
611171,34/8-1,1726.5290232,18.537792206,0.5562736392,0.4479560554,2.0730903149,75.22252655,0.5492394567,155.4450531,65000,HORDALAND GP.,5,Shale (Argilito),-0.2547115200002696,-0.34876458830849755
611172,34/8-1,1726.6810232,18.369228363,0.5650094151,0.4489539266,2.0850548744,74.669502258,0.5707281232,154.94633484,65000,HORDALAND GP.,5,Shale (Argilito),-0.24794431520373272,-0.34779822570061864
611173,34/8-1,1726.8330232,18.177961349,0.5754271746,0.4485503733,2.098626852,74.526268005,0.5753743649,155.05253601,65000,HORDALAND GP.,5,Shale (Argilito),-0.24000963236548156,-0.3481887775524026
611174,34/8-1,1726.9850232,18.235961914,0.5778953433,0.4521970153,2.1000702381,75.566139221,0.5863589048,156.60523987,65000,HORDALAND GP.,5,Shale (Argilito),-0.23815080507897435,-0.3446723085165724
611175,34/8-1,1727.1370232,18.378314972,0.5689433217,0.4562395215,2.0987021923,77.162101746,0.599268496,155.40086365,65000,HORDALAND GP.,5,Shale (Argilito),-0.2449309959932827,-0.3408070969069473
611176,34/8-1,1727.2890232,18.398025513,0.5649328828,0.4564626813,2.1049630642,79.34236145,0.5902796388,153.40298462,65000,HORDALAND GP.,5,Shale (Argilito),-0.2480031457399291,-0.3405947229883644
611177,34/8-1,1727.4410232,18.249303818,0.5708338618,0.4610338509,2.1301834583,80.337844849,0.5714303851,152.40556335,65000,HORDALAND GP.,5,Shale (Argilito),-0.24349027249379615,-0.33626718584819915
611178,34/8-1,1727.5930232,18.225816727,0.5820105672,0.4669443369,2.1465628147,78.64831543,0.5679752231,152.14793396,65000,HORDALAND GP.,5,Shale (Argilito),-0.23506913006662938,-0.33073488735248674
611179,34/8-1,1727.7450232,18.354412079,0.5885782838,0.4686999917,2.1440193653,75.622161865,0.5725338459,152.69184875,65000,HORDALAND GP.,5,Shale (Argilito),-0.23019576568155423,-0.3291050541705179
611180,34/8-1,1727.8970232,18.412553787,0.5893999934,0.4736257792,2.1180343628,72.260101318,0.5563983917,152.41360474,65000,HORDALAND GP.,5,Shale (Argilito),-0.2295898733492487,-0.3245646672234547
611181,34/8-1,1728.0490232,18.393148422,0.5859555006,0.4853317738,2.0931353569,70.885475159,0.5346538424,151.41642761,65000,HORDALAND GP.,5,Shale (Argilito),-0.23213536448990202,-0.3139612752738444
611182,34/8-1,1728.2010232,18.32406044,0.5880325437,0.4968946874,2.0892965794,71.881774902,0.5469651818,150.41908264,65000,HORDALAND GP.,5,Shale (Argilito),-0.23059863794048666,-0.30373564653319235
611183,34/8-1,1728.3530232,18.243051529,0.6003245711,0.5128592253,2.1026825905,74.22568512,0.5755383372,148.98762512,65000,HORDALAND GP.,5,Shale (Argilito),-0.22161388074081273,-0.2900018279982665
611184,34/8-1,1728.5050232,18.230060577,0.6198550463,0.5186786652,2.1173012257,76.589057922,0.583473444,147.96211243,65000,HORDALAND GP.,5,Shale (Argilito),-0.20770985881179438,-0.2851016154659686
611185,34/8-1,1728.6570232,18.164321899,0.6372526288,0.5185488462,2.1215276718,77.365852356,0.565197587,147.60670471,65000,HORDALAND GP.,5,Shale (Argilito),-0.19568836429968475,-0.2852103277301941
611186,34/8-1,1728.8090232,18.053087234,0.6411017776,0.5119498968,2.1147108078,77.954795837,0.55873698,148.35638428,65000,HORDALAND GP.,5,Shale (Argilito),-0.19307301893470405,-0.2907725402117196
611187,34/8-1,1728.9610232,17.953708649,0.6232354045,0.5044794679,2.1111793518,77.087989807,0.581073761,149.56822205,65000,HORDALAND GP.,5,Shale (Argilito),-0.20534788341277027,-0.2971565046682759
611188,34/8-1,1729.1130232,17.964931488,0.6072366238,0.5089430213,2.1193234921,74.507064819,0.6158891916,150.2828064,65000,HORDALAND GP.,5,Shale (Argilito),-0.2166420430503427,-0.29333083636685053
611189,34/8-1,1729.2650232,18.123910904,0.600672245,0.5123556256,2.1314644814,72.644050598,0.627684772,150.92219543,65000,HORDALAND GP.,5,Shale (Argilito),-0.22136243484442808,-0.2904284909327668
611190,34/8-1,1729.4170232,18.197483063,0.5910884738,0.502959311,2.1323235035,73.490730286,0.6025187969,150.96986389,65000,HORDALAND GP.,5,Shale (Argilito),-0.22834750929239683,-0.2984671475940527
611191,34/8-1,1729.5690232,18.119356155,0.5780379176,0.4805988371,2.1132647991,77.280784607,0.5630421638,150.47120667,65000,HORDALAND GP.,5,Shale (Argilito),-0.23804367219481978,-0.3182172843886814
611192,34/8-1,1729.7210232,18.08505249,0.5717999935,0.470464468,2.1025118828,79.05594635,0.5260032415,150.11125183,65000,HORDALAND GP.,5,Shale (Argilito),-0.24275585391492074,-0.3274731712468104
611193,34/8-1,1729.8730232,18.126379013,0.5763839483,0.4697699249,2.1020300388,76.851516724,0.5256037116,150.82843018,65000,HORDALAND GP.,5,Shale (Argilito),-0.2392881223441763,-0.32811479059814636
611194,34/8-1,1730.0250232,18.174318314,0.5846622586,0.4675251544,2.1117196083,73.560424805,0.5579488277,152.18708801,65000,HORDALAND GP.,5,Shale (Argilito),-0.23309494004467948,-0.33019501768295983
